recrd,vesslterms,feature_type,chart,latdec,londec,gp_quality,depth,sounding_type,yearsunk,history,quasou,watlev
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17405",55.3792789,-133.1488147,,0.4,,,,least depth known,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 17405",55.488347,-133.2875268,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17405",55.4391982,-133.0511884,,11.8,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17405",55.4818918,-133.1428488,,6.8,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17405",55.5030998,-133.1369537,,23.7,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 17407",55.11391,-133.256949,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17407",55.263828,-133.150606,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 17409",54.8540933,-132.7787054,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 17401",56.0100758,-132.8399713,,,,,,,partly submerged at high water
,,Wrecks - Visible,"US,US,graph,Chart 17401",56.0100704,-132.831791,,,,,,,partly submerged at high water
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17401",56.025616,-132.845573,,5.1,,,,least depth known,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 17431",54.9000225,-132.8073446,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 17432",54.948015,-131.981581,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 17433",54.815531,-132.058122,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17433",54.7200172,-132.2015047,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17433",54.7382126,-131.9913626,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 17435",55.065266,-131.54541,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 17435",55.068938,-131.536699,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17436",55.288393,-132.086848,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 17423",55.8000556,-132.1723955,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 17423",55.601466,-131.636813,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 17426",55.4872737,-132.6573956,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 17426",55.4793127,-132.6192757,,,,,,,always dry
,,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 17426",55.5344674,-132.1015301,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,BP-191942",55.3367902,-160.5242367,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,BP-191942",55.3355804,-160.5389123,,1.2,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,BP-191942",55.3353239,-160.5400977,,1.2,,,,least depth known,always under water/submerged
,FORT YUKON,Wrecks - Visible,"US,US,reprt,17thCGD,LNM 47/10",57.325144,-156.326711,,,,,197 ft barge,,always dry
,,,"US,US,graph,Chart 16570",57.516676,-156.030424,,12.8,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,reprt,L-1307/12",57.7181111,-152.5488333,,7.6,,,,least depth known,always under water/submerged
,,Wrecks - Visible,"US,US,graph,GC-10732",57.6995442,-152.5390015,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,GC-10732",57.7791019,-152.3844259,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 16595",57.7811801,-152.3902687,,,,,,,covers and uncovers
,,Wrecks - Visible,"US,US,graph,GC-10732",57.7751804,-152.4001801,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 16566",56.308612,-158.381232,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 16592",57.215529,-153.256949,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 16599",57.554269,-153.97878,,,,,,,partly submerged at high water
,,Wrecks - Visible,"US,US,graph,Chart 16599",57.544667,-153.985721,,,,,,,partly submerged at high water
,,Wrecks - Visible,"US,US,graph,Chart 16599",57.532663,-154.00582,,,,,,,partly submerged at high water
,,Wrecks - Visible,"US,US,graph,Chart 16599",57.539911,-153.993526,,,,,,,partly submerged at high water
,,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 16605",58.463287,-152.69619,,23.7,,,,least depth known,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 16511",53.3158917,-168.4353482,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 16514",53.468905,-167.02791,,,,,,,always dry
,,Wrecks - Visible,"US,US,reprt,L-1046/05",53.634688,-167.1252463,,,,,Stern,,always dry
,,Wrecks - Visible,"US,U1,reprt,NGA,NM 43/05",53.6363889,-167.1233333,,,,,Bow,,always dry
,,"Wrecks - Submerged, nondangerous","US,US,reprt,17thCGD,LNM 45/09",53.8831111,-166.0876806,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, nondangerous","US,US,reprt,DD-11623",53.9735636,-166.5080333,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 16529",53.9261157,-166.5119591,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,GC10581",53.8305124,-166.6099288,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,GC10581",53.8302624,-166.612628,,,,,,depth unknown,always under water/submerged
